CohortMonth,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11
2020-10,100.0,16.79,20.91,9.28,6.75,9.71,8.29,4.83,7.85,4.67,2.96,4.39
2020-11,100.0,22.28,8.37,5.35,8.09,7.06,4.2,7.45,3.25,1.86,3.25,
2020-12,100.0,7.21,3.27,4.51,4.81,2.34,3.99,1.87,1.2,1.78,,
2021-01,100.0,6.71,4.64,4.77,3.0,3.42,2.74,1.82,2.03,,,
2021-02,100.0,8.71,6.8,3.75,3.75,2.34,1.91,1.91,,,,
2021-03,100.0,12.48,3.14,5.56,1.99,1.17,1.89,,,,,
2021-04,100.0,3.65,3.73,1.35,0.9,1.05,,,,,,
2021-05,100.0,6.9,3.86,2.13,1.74,,,,,,,
2021-06,100.0,5.11,2.32,3.49,,,,,,,,
2021-07,100.0,6.68,3.66,,,,,,,,,
2021-08,100.0,5.2,,,,,,,,,,
2021-09,100.0,,,,,,,,,,,
